t, thetaX, thetaY, thetaZ, omegaX, omegaY, omegaZ, alphaX, alphaY, alphaZ
10.11672,0.00000,-0.69711,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
10.21689,0.00000,-0.69624,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
10.31705,0.00000,-0.69536,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
10.41722,0.00000,-0.69449,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
10.51738,0.00000,-0.69362,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
10.61755,0.00000,-0.69274,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
10.71772,0.00000,-0.69187,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
10.81788,0.00000,-0.69099,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
10.91805,0.00000,-0.69012,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
11.01821,0.00000,-0.68925,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
11.11838,0.00000,-0.68837,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
11.21854,0.00000,-0.68750,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
11.31871,0.00000,-0.68662,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
11.41887,0.00000,-0.68575,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
11.51904,0.00000,-0.68488,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
11.61921,0.00000,-0.68400,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
11.71937,0.00000,-0.68313,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
11.81954,0.00000,-0.68225,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
11.91970,0.00000,-0.68138,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
12.01987,0.00000,-0.68051,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
12.12003,0.00000,-0.67963,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
12.22020,0.00000,-0.67876,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
12.32036,0.00000,-0.67788,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
12.42053,0.00000,-0.67701,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
12.52070,0.00000,-0.67613,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
12.62086,0.00000,-0.67526,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
12.72103,0.00000,-0.67439,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
12.82119,0.00000,-0.67351,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
12.92136,0.00000,-0.67264,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
13.02152,0.00000,-0.67176,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
13.12169,0.00000,-0.67089,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
13.22185,0.00000,-0.67002,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
13.32202,0.00000,-0.66914,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
13.42219,0.00000,-0.66827,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
13.52235,0.00000,-0.66739,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
13.62252,0.00000,-0.66652,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
13.72268,0.00000,-0.66565,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
13.82285,0.00000,-0.66477,0.00000,0.00000,0.00873,0.00000,0.00000,0.00000,0.00000
